h,dm_stat,p_value,n
1,-1.612120227765149,0.11209822318983731,62
2,-0.6000886648310731,0.5506700113056167,62
3,-0.450533895960966,0.6539228247017403,62
4,-1.8526524597162535,0.06877155200001095,62
5,-2.3075455332055226,0.024432302484423518,62
6,-1.8886381174338807,0.06369741327246548,62
7,-0.926365770810884,0.35790661428000936,62
8,-1.6823026141884991,0.09762288827958332,62
9,-1.534469198895188,0.13008499930916462,62
10,-1.1074258812574966,0.2724576386317623,62
11,,,62
12,-1.1078073454920236,0.27229413240484335,62
