h,n_origins,mae,rmse,smape,bias,pi_coverage,pi_width_mean,winkler_alpha20,model_kind
1,102,63.522927740066535,88.65567694024142,0.3944049019033727,-1.4317276726070287,0.8235294117647058,205.26487883844965,330.647596824974,sarima
2,102,72.13864454047061,101.26174039091973,0.4013454747976978,-0.8679640231011788,0.8333333333333334,270.8923405110627,386.21132245173646,sarima
3,102,97.71236900449163,136.9438897021282,0.5316812422933664,-4.065621724157857,0.8333333333333334,337.37890076056124,510.88626868194893,sarima
4,102,117.93828027860717,171.93644540374288,0.595066128122987,-3.080780896478111,0.8333333333333334,402.77451896757384,624.1370661841639,sarima
5,102,146.7472352188121,225.108829371589,0.6225441965039007,-4.129397823843153,0.8235294117647058,457.54190981315327,833.6463222581874,sarima
6,102,160.41917177491314,243.38034359805727,0.6613189675853876,-5.331967538046193,0.8137254901960784,508.8473631519858,899.0725615210423,sarima
7,102,185.89682013767012,270.29093013952877,0.7590449063993807,-7.361866807262962,0.7843137254901961,556.0367631978507,976.2862480550694,sarima
8,102,211.82118216872857,312.6528197379238,0.7759326529656712,-5.667667915618853,0.7647058823529411,599.6120250912624,1187.387778328595,sarima
9,102,223.50219532427795,346.0488363072294,0.8058712093679691,-6.724274423574724,0.803921568627451,640.5447172893788,1298.0177722211854,sarima
10,102,235.534596927206,357.99373923820673,0.8248727498772063,-8.504737156723719,0.7843137254901961,679.0707638278881,1314.1710275960204,sarima
11,102,260.0750335025103,374.50518644139925,0.9139834201886089,-11.928304223270256,0.7549019607843137,715.5729900310325,1370.715365409354,sarima
12,102,284.62817230983,409.4021849014808,0.940238507070707,-7.85289375317994,0.7549019607843137,750.3409684679405,1532.3146338638917,sarima
1,62,62.253173761747156,94.10239838368923,0.2850274195990049,0.43468346962624543,0.8064516129032258,196.1424613032322,366.38260967949094,sarimax
2,62,80.053448428609,111.56760297060487,0.35308805932013637,0.4388338323620612,0.7741935483870968,257.9168809904267,421.66537931414683,sarimax
3,62,103.10459249145525,149.01070547103816,0.42324646223613704,-7.03537167758887,0.7419354838709677,322.91759112607014,567.8732565671077,sarimax
4,62,136.81556621575584,202.41958082722263,0.5005475343165376,0.3065634374778676,0.7258064516129032,387.528597028363,750.2487270023092,sarimax
5,62,179.37575032315647,270.33500526369625,0.5661502325064494,-4.617934850910616,0.7258064516129032,441.4979969378263,1039.0339209350711,sarimax
6,62,195.9954303722201,291.20148987234074,0.605842586307793,-3.510955292311602,0.7419354838709677,492.5349015438419,1105.8558638617444,sarimax
7,62,217.12422121156044,315.5342910373227,0.664684499254231,-9.747065602123525,0.7258064516129032,539.4662228570569,1168.4882580651297,sarimax
8,62,259.50369877747715,375.9950385984132,0.7050398341634695,-3.003500877755523,0.6612903225806451,582.8226745872374,1522.6425261280774,sarimax
9,62,275.0401385401229,421.53800983378136,0.6864334100191839,-8.272099291050079,0.6774193548387096,623.589133809602,1690.2047794392038,sarimax
10,62,291.56387293503593,434.87169940732497,0.7151066883155683,-7.194259513779674,0.6612903225806451,661.9309137044283,1698.5885973654688,sarimax
11,62,309.5076275437125,444.4169078600784,0.7729643280862776,-12.87760727391721,0.6612903225806451,698.2505021755156,1738.6551820490395,sarimax
12,62,347.82917960241986,495.0833665521656,0.8151558395012928,-6.428304396584448,0.6612903225806451,732.8286000360135,2009.5113038698205,sarimax
