_id,epi_week,disease,no._of_cases
1,2012-W01,Acute Viral hepatitis B,0
2,2012-W01,Acute Viral hepatitis C,0
3,2012-W01,Avian Influenza,0
4,2012-W01,Campylobacterenterosis,6
5,2012-W01,Chikungunya Fever,0
6,2012-W01,Cholera,0
7,2012-W01,Dengue Fever,74
8,2012-W01,Dengue Haemorrhagic Fever,0
9,2012-W01,Diphtheria,0
10,2012-W01,Encephalitis,0
11,2012-W01,Haemophilus influenzae type b,0
12,2012-W01,"Hand, Foot Mouth Disease",326
13,2012-W01,Legionellosis,0
14,2012-W01,Malaria,1
15,2012-W01,Measles,2
16,2012-W01,Melioidosis,0
17,2012-W01,Meningococcal Infection,0
18,2012-W01,Mumps,11
19,2012-W01,Nipah virus infection,0
20,2012-W01,Paratyphoid,1
21,2012-W01,Pertussis,2
22,2012-W01,Plague,0
23,2012-W01,Pneumococcal Disease (invasive),3
24,2012-W01,Poliomyelitis,0
25,2012-W01,Rubella,1
26,2012-W01,Salmonellosis(non-enteric fevers),26
27,2012-W01,SARS,0
28,2012-W01,Typhoid,6
29,2012-W01,Viral Hepatitis A,1
30,2012-W01,Viral Hepatitis E,3
31,2012-W01,Yellow Fever,0
32,2012-W02,Acute Viral hepatitis B,0
33,2012-W02,Acute Viral hepatitis C,0
34,2012-W02,Avian Influenza,0
35,2012-W02,Campylobacterenterosis,7
36,2012-W02,Chikungunya Fever,1
37,2012-W02,Cholera,0
38,2012-W02,Dengue Fever,64
39,2012-W02,Dengue Haemorrhagic Fever,2
40,2012-W02,Diphtheria,0
41,2012-W02,Encephalitis,0
42,2012-W02,Haemophilus influenzae type b,0
43,2012-W02,"Hand, Foot Mouth Disease",346
44,2012-W02,Legionellosis,0
45,2012-W02,Malaria,2
46,2012-W02,Measles,1
47,2012-W02,Melioidosis,1
48,2012-W02,Meningococcal Infection,0
49,2012-W02,Mumps,10
50,2012-W02,Nipah virus infection,0
51,2012-W02,Paratyphoid,1
52,2012-W02,Pertussis,0
53,2012-W02,Plague,0
54,2012-W02,Pneumococcal Disease (invasive),3
55,2012-W02,Poliomyelitis,0
56,2012-W02,Rubella,2
57,2012-W02,Salmonellosis(non-enteric fevers),24
58,2012-W02,SARS,0
59,2012-W02,Typhoid,3
60,2012-W02,Viral Hepatitis A,2
61,2012-W02,Viral Hepatitis E,0
62,2012-W02,Yellow Fever,0
63,2012-W03,Acute Viral hepatitis B,0
64,2012-W03,Acute Viral hepatitis C,0
65,2012-W03,Avian Influenza,0
66,2012-W03,Campylobacterenterosis,9
67,2012-W03,Chikungunya Fever,1
68,2012-W03,Cholera,0
69,2012-W03,Dengue Fever,60
70,2012-W03,Dengue Haemorrhagic Fever,1
71,2012-W03,Diphtheria,0
72,2012-W03,Encephalitis,3
73,2012-W03,Haemophilus influenzae type b,0
74,2012-W03,"Hand, Foot Mouth Disease",463
75,2012-W03,Legionellosis,0
76,2012-W03,Malaria,2
77,2012-W03,Measles,2
78,2012-W03,Melioidosis,1
79,2012-W03,Meningococcal Infection,0
80,2012-W03,Mumps,15
