week_start,Dengue Fever,Dengue Haemorrhagic Fever,Total Dengue Cases,moving_avg_12w,avg_temp_c,min_temp_c,max_temp_c,avg_relative_humidity_pct,avg_wind_speed,warm_day_share,source_rows,source_query_start,source_query_end,weather_lag_days,weather_overlap_flag
2012-01-01,74,0,74,74.0,,,,,,,,,,,0
2012-01-08,64,2,66,70.0,,,,,,,,,,,0
2012-01-15,60,1,61,67.0,,,,,,,,,,,0
2012-01-22,50,2,52,63.25,,,,,,,,,,,0
2012-01-29,84,1,85,67.6,,,,,,,,,,,0
2012-02-05,87,0,87,70.83333333333333,,,,,,,,,,,0
2012-02-12,65,0,65,70.0,,,,,,,,,,,0
2012-02-19,50,1,51,67.625,,,,,,,,,,,0
2012-02-26,55,0,55,66.22222222222223,,,,,,,,,,,0
2012-03-04,45,1,46,64.2,,,,,,,,,,,0
2012-03-11,64,0,64,64.18181818181819,,,,,,,,,,,0
2012-03-18,72,1,73,64.91666666666667,,,,,,,,,,,0
2012-03-25,48,0,48,62.75,,,,,,,,,,,0
2012-04-01,52,0,52,61.583333333333336,,,,,,,,,,,0
2012-04-08,81,1,82,63.333333333333336,,,,,,,,,,,0
2012-04-15,77,0,77,65.41666666666667,,,,,,,,,,,0
2012-04-22,64,0,64,63.666666666666664,,,,,,,,,,,0
2012-04-29,86,2,88,63.75,,,,,,,,,,,0
2012-05-06,96,1,97,66.41666666666667,,,,,,,,,,,0
2012-05-13,80,0,80,68.83333333333333,,,,,,,,,,,0
2012-05-20,80,0,80,70.91666666666667,,,,,,,,,,,0
2012-05-27,81,0,81,73.83333333333333,,,,,,,,,,,0
2012-06-03,99,1,100,76.83333333333333,,,,,,,,,,,0
2012-06-10,87,1,88,78.08333333333333,,,,,,,,,,,0
2012-06-17,128,1,129,84.83333333333333,,,,,,,,,,,0
2012-06-24,151,0,151,93.08333333333333,,,,,,,,,,,0
2012-07-01,140,0,140,97.91666666666667,,,,,,,,,,,0
2012-07-08,131,1,132,102.5,,,,,,,,,,,0
2012-07-15,124,1,125,107.58333333333333,,,,,,,,,,,0
2012-07-22,110,0,110,109.41666666666667,,,,,,,,,,,0
2012-07-29,94,0,94,109.16666666666667,,,,,,,,,,,0
2012-08-05,127,0,127,113.08333333333333,,,,,,,,,,,0
2012-08-12,115,0,115,116.0,,,,,,,,,,,0
2012-08-19,92,0,92,116.91666666666667,,,,,,,,,,,0
2012-08-26,102,0,102,117.08333333333333,,,,,,,,,,,0
2012-09-02,75,1,76,116.08333333333333,,,,,,,,,,,0
2012-09-09,73,1,74,111.5,,,,,,,,,,,0
2012-09-16,72,0,72,104.91666666666667,,,,,,,,,,,0
2012-09-23,99,1,100,101.58333333333333,,,,,,,,,,,0
2012-09-30,103,1,104,99.25,,,,,,,,,,,0
2012-10-07,122,1,123,99.08333333333333,,,,,,,,,,,0
2012-10-14,105,0,105,98.66666666666667,,,,,,,,,,,0
2012-10-21,84,0,84,97.83333333333333,,,,,,,,,,,0
2012-10-28,104,0,104,95.91666666666667,,,,,,,,,,,0
2012-11-04,99,1,100,94.66666666666667,,,,,,,,,,,0
2012-11-11,87,1,88,94.33333333333333,,,,,,,,,,,0
2012-11-18,99,1,100,94.16666666666667,,,,,,,,,,,0
2012-11-25,80,0,80,94.5,,,,,,,,,,,0
2012-12-02,78,0,78,94.83333333333333,,,,,,,,,,,0
2012-12-09,104,1,105,97.58333333333333,,,,,,,,,,,0
2012-12-16,92,2,94,97.08333333333333,,,,,,,,,,,0
2012-12-23,111,1,112,97.75,,,,,,,,,,,0
2012-12-30,132,2,134,98.66666666666667,,,,,,,,,,,0
2013-01-06,204,1,205,107.0,,,,,,,,,,,0
2013-01-13,219,0,219,118.25,,,,,,,,,,,0
2013-01-20,264,3,267,131.83333333333334,,,,,,,,,,,0
2013-01-27,292,1,293,147.91666666666666,,,,,,,,,,,0
2013-02-03,322,0,322,167.41666666666666,,,,,,,,,,,0
2013-02-10,246,1,247,179.66666666666666,,,,,,,,,,,0
2013-02-17,294,2,296,197.66666666666666,,,,,,,,,,,0
2013-02-24,247,2,249,211.91666666666666,,,,,,,,,,,0
2013-03-03,272,1,273,225.91666666666666,,,,,,,,,,,0
2013-03-10,307,1,308,243.75,,,,,,,,,,,0
2013-03-17,305,2,307,260.0,,,,,,,,,,,0
2013-03-24,314,2,316,275.1666666666667,,,,,,,,,,,0
2013-03-31,402,4,406,291.9166666666667,,,,,,,,,,,0
2013-04-07,491,1,492,314.6666666666667,,,,,,,,,,,0
2013-04-14,505,4,509,334.8333333333333,,,,,,,,,,,0
2013-04-21,536,2,538,355.25,,,,,,,,,,,0
2013-04-28,547,0,547,374.0,,,,,,,,,,,0
2013-05-05,556,2,558,399.9166666666667,,,,,,,,,,,0
2013-05-12,611,0,611,426.1666666666667,,,,,,,,,,,0
2013-05-19,637,3,640,458.75,,,,,,,,,,,0
2013-05-26,742,4,746,498.1666666666667,,,,,,,,,,,0
2013-06-02,813,1,814,540.3333333333334,,,,,,,,,,,0
2013-06-09,805,4,809,582.1666666666666,,,,,,,,,,,0
